model_number,device_name,form_factor
1000,minimal_device,firmware_example
1001,board_led_controller,firmware_example
1002,string_controller,firmware_example
1003,field_tester,firmware_example
1010,standalone_modular_device,firmware_example
1100,aalborg_mfc_interface,mega
1110,power_switch_controller,mega
1111,power_switch_controller,teensy
1120,mixed_signal_controller,mega
1130,pwm_controller,mega
1140,stepper_controller,mega
1141,stepper_controller,teensy
1151,audio_controller,teensy
1160,led_controller,mega
1170,h_bridge_controller,mega
1180,encoder_interface,mega
1190,relay_controller,mega
1201,user_interface,teensy

